RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1441.61	30.9974521	2.64	3.85	61919.55	412.02	0.00413	0.6	0	1704.26	36.33	EI
1441.6	32.9836149	48.05	4.94	329.24	26.91	0.00433	0.6	0	59.9	5.5	EI
1441.64	33.9869249	104.5	5.61	189.45	24.2	0.00443	0.6	0	78.26	2.42	EI
1441.65	34.9679662	2.67	6.22	67438.5	424.84	0.00452	0.6	0	860.97	78.33	EI
1441.63	36.9649177	5.79	7.05	23606.88	200.17	0.00472	0.6	0	257.75	91.59	EI
1441.63	40.9670629	21.35	2.72	3798.82	56.83	0.00511	0.6	0	103.99	36.53	EI
1441.57	41.9661103	11.17	2.79	2749.47	47.52	0.00521	0.6	0	65.9	41.72	EI
1441.56	42.9649795	32.04	2.86	413.01	26.69	0.00531	0.6	0	25.02	16.5	EI
1441.6	46.967604	3.67	3.11	43376.3	214.07	0.0057	0.6	0	815.44	53.19	EI
1441.45	47.9697673	28.51	3.17	451.52	19.71	0.0058	0.6	0	65.68	6.87	EI
1441.64	48.9645631	5	3.23	14805.33	93.54	0.0059	0.6	0	233.37	63.44	EI
1441.61	49.9955243	1.75	3.28	205687.07	944.17	0.006	0.6	0	1824.78	112.72	EI
1441.61	53.9661372	24.6	3.47	424.71	24.73	0.00639	0.6	0	26.88	15.8	EI
1441.72	55.963617	51.77	3.55	161.82	13.75	0.00658	0.6	0	30.08	5.38	EI
1441.61	65.9654741	2.4	3.9	77379	403.83	0.00757	0.6	0	1428.11	54.18	EI
1441.64	67.9624121	3.3	3.95	25979.01	213.31	0.00776	0.6	0	529.88	49.03	EI
1441.57	69.9357986	9.75	3.96	5687.95	57.5	0.00796	0.6	0	150.92	37.69	EI
1441.61	71.9325339	8.66	3.92	3846.97	53.73	0.00815	0.6	0	98.01	39.25	EI
1441.67	73.9294717	23.35	3.89	603.39	23.88	0.00835	0.6	0	34.46	17.51	EI
1441.58	81.9358339	8.95	3.76	4003.37	59.15	0.00914	0.6	0	99.94	40.06	EI
1441.6	83.9323047	14.3	3.73	2742.77	43.06	0.00933	0.6	0	53.47	51.3	EI
1441.59	84.9638451	0.98	3.72	2783266.7	19283.99	0.00943	0.6	0	19773.51	140.76	EI
1441.48	85.966826	4.06	3.7	28558.35	154.17	0.00953	0.6	0	679.93	42	EI
1441.6	86.9608375	1.1	3.69	893642.13	5254.23	0.00963	0.6	0	20991.06	42.57	EI
1441.47	87.963977	5.7	3.68	9137.67	79.71	0.00973	0.6	0	276.19	33.09	EI
1441.6	100.9342282	1.91	3.8	255444	1692.37	0.011	0.6	0	3107.83	82.19	EI
1441.44	101.9374055	11.42	3.73	2445.13	75.91	0.0111	0.6	0	79.38	30.8	EI
1441.61	102.9311538	1.7	3.67	161201.61	917.16	0.0112	0.6	0	4237.59	38.04	EI
1441.52	103.934196	13.51	3.61	1607.82	39.47	0.0113	0.6	0	50.22	32.01	EI
1441.61	104.9279947	4.42	3.54	26126.62	307.05	0.01139	0.6	0	657.36	39.74	EI
1441.5	105.9316789	38.93	3.48	195.71	16.23	0.01149	0.6	0	19.76	9.9	EI
1441.61	119.9322673	8.35	2.76	4646.77	66.19	0.01287	0.6	0	117.36	39.59	EI
1441.69	121.929435	11.47	2.7	2961.42	51.26	0.01306	0.6	0	66.04	44.84	EI
1441.64	123.9249853	28.82	2.65	445.76	24.32	0.01326	0.6	0	17.45	25.54	EI
