RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1536.4	30.9975705	9.02	3.85	5184.55	56.39	0.00413	0.6	0	237.72	21.81	EI
1536.39	34.9680915	13.63	6.22	1257.47	50.45	0.00452	0.6	0	218.75	5.75	EI
1536.39	36.9651308	16.94	7.05	409.96	23.21	0.00472	0.6	0	108.25	3.79	EI
1536.29	42.9977368	73.46	2.86	219.72	25.81	0.00531	0.6	0	12.83	17.12	EI
1536.48	46.9678844	12.3	3.12	1914.58	32.62	0.0057	0.6	0	72.96	26.24	EI
1536.51	48.9647906	24.33	3.23	604.33	18.38	0.0059	0.6	0	28.65	21.1	EI
1536.43	49.9954486	7.57	3.28	5512.85	67.59	0.006	0.6	0	174.57	31.58	EI
1536.65	57.9806606	39.95	3.63	245.55	15.55	0.00678	0.6	0	19.28	12.73	EI
1536.14	58.9719344	63.88	3.67	131.56	13.84	0.00688	0.6	0	21.79	6.04	EI
1536.5	61.9953991	31.23	3.77	306.64	21.99	0.00718	0.6	0	24.6	12.47	EI
1536.47	65.9656691	9.72	3.9	4609.75	84.22	0.00757	0.6	0	136.21	33.84	EI
1536.46	67.9624114	14.19	3.95	1412.68	37.52	0.00776	0.6	0	88.02	16.05	EI
1536.49	68.9934687	4.28	3.98	6789.8	164.53	0.00786	0.6	0	474.68	14.3	EI
1536.43	69.9978313	36.29	3.96	88.72	17.85	0.00796	0.6	0	50.2	1.77	EI
1536.52	77.9642446	52.46	3.82	365.62	22.38	0.00875	0.6	0	57.97	6.31	EI
1536.32	79.9604663	46.51	3.79	81.74	11.72	0.00894	0.6	0	20.81	3.93	EI
1536.4	80.993664	42.69	3.77	179.17	15.36	0.00904	0.6	0	49.34	3.63	EI
1536.44	81.9351668	33.34	3.76	402.97	24.62	0.00914	0.6	0	26.33	15.3	EI
1536.65	83.9325778	42.78	3.73	137.76	20.99	0.00933	0.6	0	77.33	1.78	EI
1536.41	84.9638069	2.16	3.72	101970.49	725.05	0.00943	0.6	0	2998.98	34	EI
1536.38	85.9672871	19.16	3.7	1007.9	35.01	0.00953	0.6	0	43.64	23.1	EI
1536.41	86.9607497	3.54	3.69	32972.58	322.63	0.00963	0.6	0	1064.87	30.96	EI
1536.15	87.9635753	37.49	3.68	292.24	14.57	0.00973	0.6	0	31.13	9.39	EI
1536.64	96.9657746	37.1	3.76	86	13.67	0.01061	0.6	0	30.26	2.84	EI
1536.43	99.991525	7.67	3.86	7238.13	144.23	0.01091	0.6	0	279.65	25.88	EI
1536.47	100.9339545	5.45	3.8	16714.67	165.55	0.011	0.6	0	379.41	44.05	EI
1536.46	101.9370714	59.26	3.73	86.96	15.07	0.0111	0.6	0	19.59	4.44	EI
1536.47	102.9312146	6.8	3.67	10878.78	128.35	0.0112	0.6	0	214.08	50.82	EI
1536.49	104.9278402	14.85	3.54	1659.6	36.65	0.01139	0.6	0	40.49	40.99	EI
1536.4	115.9616764	15.92	2.94	1875.86	41.94	0.01248	0.6	0	38.97	48.14	EI
1536.35	117.9588568	21.76	2.84	541.87	26.7	0.01267	0.6	0	31.13	17.41	EI
1536.66	131.9304352	49.9	2.3	60.87	8.92	0.01405	0.6	0	11.31	5.38	EI
1536.36	133.9282248	59.32	1.97	20.12	2.7	0.01424	0.6	0	11.11	1.81	EI
1536.43	134.9608019	2.43	1.81	83034.09	575.09	0.01434	0.6	0	1567.99	52.96	EI
1536.44	135.9639232	16.72	1.65	1704.15	28.45	0.01444	0.6	0	48.38	35.22	EI
1536.43	136.9577994	4.24	1.49	26511.17	267.09	0.01454	0.6	0	527.95	50.22	EI
1536.27	137.9602985	20.56	1.34	488.75	23.05	0.01464	0.6	0	57.75	8.46	EI
1536.43	150.9313384	9.43	0.91	4278.92	82.76	0.01591	0.6	0	98.75	43.33	EI
1536.5	152.9278781	12.01	0.98	2585.45	52.79	0.01611	0.6	0	83.24	31.06	EI
1536.44	154.9250539	38.53	1.06	394.99	32.2	0.0163	0.6	0	26.58	14.86	EI
