RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1572.11	30.9977165	5.33	3.85	22245.79	213.84	0.00413	0.6	0	682.76	32.58	EI
1572.1	34.9681052	3.9	6.22	34532.91	264.3	0.00452	0.6	0	785.09	43.99	EI
1572.71	35.9756968	15.07	6.65	1504.74	46.42	0.00462	0.6	0	520.15	2.89	EI
1572.09	36.9651519	5.29	7.05	11750.29	99.29	0.00472	0.6	0	272.51	43.12	EI
1572.48	37.9725287	30.17	5.49	421.93	24.04	0.00482	0.6	0	218.25	1.93	EI
1572.09	46.9678517	3.95	3.12	45326.75	325.72	0.0057	0.6	0	1172.23	38.67	EI
1571.97	47.9694662	29.55	3.17	676.3	23.63	0.0058	0.6	0	149.81	4.51	EI
1572.1	48.9647784	6.27	3.23	15441.67	138.47	0.0059	0.6	0	374.61	41.22	EI
1572.43	49.9689112	48.38	3.28	161	19.19	0.006	0.6	0	132.15	1.22	EI
1572.32	53.968907	103.64	3.47	75.41	13.37	0.00639	0.6	0	36.54	2.06	EI
1572.09	65.9657088	2.23	3.9	86100.78	554.67	0.00757	0.6	0	1678.03	51.31	EI
1571.94	66.9702589	23.77	3.92	1272.45	46.23	0.00767	0.6	0	61.29	20.76	EI
1572.1	67.9626795	4.71	3.95	28528.39	224.7	0.00776	0.6	0	839.35	33.99	EI
1572.09	81.9360779	4.32	3.76	29713.56	182.84	0.00914	0.6	0	781.79	38.01	EI
1571.97	82.9396801	33.46	3.75	309.56	20.44	0.00923	0.6	0	35.94	8.61	EI
1572.1	83.932982	4.45	3.73	19743.08	128.13	0.00933	0.6	0	478.29	41.28	EI
1572.06	84.9384806	36.41	3.72	141.56	18.24	0.00943	0.6	0	33.87	4.18	EI
1572.06	85.9298126	10.23	3.71	3130.8	53.23	0.00953	0.6	0	83.83	37.35	EI
1572.09	100.9345714	1.39	3.8	922655.91	5033	0.011	0.6	0	17973.84	51.33	EI
1572.02	101.937555	7.67	3.73	9555.61	108.55	0.0111	0.6	0	227.85	41.94	EI
1572.09	102.9316598	1.84	3.67	620557.75	4019.79	0.0112	0.6	0	7543.85	82.26	EI
1572.02	103.9343605	8.17	3.61	6279.69	93.73	0.0113	0.6	0	129.15	48.62	EI
1572.11	104.9284813	2.71	3.54	96077.16	626.18	0.01139	0.6	0	2129.94	45.11	EI
1572.15	105.9321985	19.7	3.48	1170.79	34.9	0.01149	0.6	0	41.39	28.29	EI
1572.08	116.9047387	3.98	2.89	18917.33	126.62	0.01257	0.6	0	461.12	41.03	EI
1571.68	117.906108	32.01	2.84	95.55	14.13	0.01267	0.6	0	25.29	3.78	EI
1572.11	118.9016716	4.76	2.79	18600.24	115.02	0.01277	0.6	0	508.43	36.58	EI
1571.84	119.9069918	40.22	2.76	173.54	14.51	0.01286	0.6	0	50.63	3.43	EI
1572.1	120.8984676	8.77	2.73	5861.24	93.73	0.01296	0.6	0	159.52	36.74	EI
1572.05	122.8950422	18.89	2.68	594.23	22.17	0.01316	0.6	0	23.85	24.92	EI
1572.2	135.904856	44.43	1.66	49.59	7.38	0.01444	0.6	0	6.02	8.23	EI
1572.03	137.9065888	46.38	1.35	38.27	10.6	0.01463	0.6	0	5.29	7.24	EI
