RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1545.29	26.0140717	42.12	2.7	212.67	21.19	0.00364	0.6	0	19.87	10.7	EI
1545.3	30.9976023	17.51	3.85	1341.59	51.82	0.00413	0.6	0	168.34	7.97	EI
1545.36	33.0131384	30.34	4.96	477.9	30.32	0.00433	0.6	0	26.6	17.96	EI
1545.36	34.9681253	9.29	6.22	564.34	40.08	0.00452	0.6	0	185.73	3.04	EI
1545.33	35.9747322	34.97	6.65	152.08	19.4	0.00462	0.6	0	44.78	3.4	EI
1545.1	36.9647326	26.63	7.05	160.55	32.51	0.00472	0.6	0	102.92	1.56	EI
1544.8	37.9729624	48.15	5.49	36.32	4.96	0.00482	0.6	0	35.3	1.03	EI
1545.46	42.0099541	45.66	2.8	52.8	11.64	0.00521	0.6	0	31.04	1.7	EI
1545.41	42.997892	72.23	2.86	175.62	20.46	0.00531	0.6	0	111.44	1.58	EI
1545.12	43.9900341	15.25	2.93	770.56	68.18	0.00541	0.6	0	419.56	1.84	EI
1545.36	44.9539041	103.45	2.99	276.07	28.77	0.0055	0.6	0	118.36	2.33	EI
1545.29	45.0129024	5.46	3	12804.02	124.24	0.00551	0.6	0	245.72	52.11	EI
1545.29	46.0183369	34.83	3.06	515.65	24.3	0.00561	0.6	0	19.62	26.28	EI
1545.22	46.9678379	28	3.12	223.18	15.83	0.0057	0.6	0	49.14	4.54	EI
1545.22	47.9716237	52.2	3.17	307.28	15.48	0.0058	0.6	0	64.34	4.78	EI
1545.38	48.9826054	27.82	3.23	502.08	25.34	0.0059	0.6	0	26.12	19.22	EI
1545.37	49.9955051	22.71	3.28	478.24	30.58	0.006	0.6	0	171.76	2.78	EI
1545.24	51.0027114	42.94	3.33	505.67	22.34	0.0061	0.6	0	63.89	7.91	EI
1545.21	58.9676829	47.59	3.67	69.84	5.67	0.00688	0.6	0	13.87	5.04	EI
1545.26	59.9749021	34.45	3.7	297.04	17.36	0.00698	0.6	0	15.51	19.15	EI
1545.26	60.983044	12.25	3.74	2154.5	64.43	0.00708	0.6	0	18.73	115.01	EI
1545.38	61.9859133	122.95	3.77	130.02	19.86	0.00718	0.6	0	19.32	6.73	EI
1545.26	62.9999768	40.82	3.8	1409.81	47	0.00728	0.6	0	27.55	51.17	EI
1545.14	63.9600212	32.06	3.83	132.64	21.7	0.00737	0.6	0	77.78	1.71	EI
1545.3	64.0106641	9.12	3.84	4508.22	48.97	0.00738	0.6	0	78.3	57.58	EI
1545.3	65.0186952	3.3	3.87	52994.6	437.11	0.00747	0.6	0	847.1	62.56	EI
1545.24	65.9651764	50.16	3.9	127.33	27.8	0.00757	0.6	0	92.64	1.37	EI
1545.19	66.0221469	21.32	3.9	1213.83	39.69	0.00757	0.6	0	19.19	63.26	EI
1545.05	66.9727531	30.71	3.92	168.16	16.96	0.00767	0.6	0	28.55	5.89	EI
1545.24	78.9729437	22.53	3.8	589.94	21.17	0.00884	0.6	0	38	15.52	EI
1545.16	79.98097	14.26	3.79	1637.43	45.85	0.00894	0.6	0	49.57	33.04	EI
1545.29	80.9880669	14.38	3.77	2498.21	54.26	0.00904	0.6	0	54.38	45.94	EI
1545.18	81.9791075	35.34	3.76	552.96	15.41	0.00914	0.6	0	30.71	18.01	EI
1545.24	82.9857575	25.7	3.74	760.35	23.33	0.00924	0.6	0	30.79	24.7	EI
1545.32	84.9638731	3.7	3.72	10517.73	128.8	0.00943	0.6	0	1989.42	5.29	EI
1544.91	85.9673017	67.86	3.7	57.83	9.55	0.00953	0.6	0	25.53	2.26	EI
1545.31	86.9609208	8.78	3.69	3351.77	61.14	0.00963	0.6	0	673.97	4.97	EI
1545.3	97.9707634	66.89	3.79	41.57	6.96	0.01071	0.6	0	6.08	6.84	EI
1545.51	98.9757588	46.66	3.83	54.46	9.03	0.01081	0.6	0	50.44	1.08	EI
