RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
272.22	37.9951658	56.35	26.32	315.85	12.67	0.00542	0.6	0	63.93	4.94	EI
272.41	69.9946426	8.35	4.14	12155.01	101.51	0.00813	0.6	0	151.29	80.34	EI
272.5	30.9971448	12.37	32.26	8440.57	86.58	0.00483	0.6	0	235.26	35.88	EI
272.52	49.9943468	4.39	20	70493.12	235.6	0.00644	0.6	0	1273.23	55.37	EI
272.54	50.99751	37.28	19.61	548.66	27.06	0.00652	0.6	0	112.18	4.89	EI
272.62	68.9915549	1.74	4.27	1037034.67	2073.07	0.00805	0.6	0	24317.8	42.65	EI
274.38	70.9944182	56.21	4.01	301.87	20.68	0.00822	0.6	2	90.22	3.35	EI
274.43	51.9970787	38.36	19.23	608.68	27.91	0.00661	0.6	2	178.87	3.4	EI
