RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
1790.89	78.9162418	40.46	3.8	304.05	12.13	0.00884	0.6	0	36.19	8.4	EI
1791.25	80.9155146	35.77	3.77	252.54	14.18	0.00904	0.6	0	46.91	5.38	EI
1791.29	90.9177242	48.04	3.64	186.48	14.31	0.01002	0.6	0	92.67	2.01	EI
1790.98	92.9304994	18.68	3.62	1837.07	32.62	0.01022	0.6	0	179.91	10.21	EI
1790.86	94.9306767	19.2	3.69	1781.32	30.15	0.01041	0.6	0	78.26	22.76	EI
1791.03	171.8514058	19.61	1.56	1195.49	26.01	0.01797	0.6	0	123.88	9.65	EI
1790.91	173.8488915	12.82	1.59	2307.02	41.34	0.01816	0.6	0	64.42	35.81	EI
1791.07	175.8481954	18.2	1.62	1226.04	28.35	0.01836	0.6	0	42.36	28.94	EI
