RT	mass	mass_u_ppm	mass_cal_u_ppm	area	area_u	peak_width	peak_alpha	compound_bin	LOD	SN	Ionisation
2178.5	26.0151657	20.98	2.7	2486.33	31.27	0.00364	0.6	0	184.33	13.49	EI
2178.57	27.0230112	8.58	2.6	14908.33	77.99	0.00374	0.6	0	659.3	22.61	EI
2177.68	29.0387245	23.72	3	693.49	25.55	0.00394	0.6	0	578.46	1.2	EI
2178.34	31.0100347	134.16	3.86	420.37	16.82	0.00413	0.6	0	181.87	2.31	EI
2178.69	35.999793	30.05	6.66	774.43	20.46	0.00462	0.6	0	64.21	12.06	EI
2178.61	37.0074804	8.25	6.98	17699.23	99.65	0.00472	0.6	0	915.58	19.33	EI
2178.59	38.0152096	6.3	5.43	42078.81	183.92	0.00482	0.6	0	1798.74	23.39	EI
2178.56	39.023116	2.43	3.95	224727.78	575.12	0.00492	0.6	0	9205.04	24.41	EI
2178.57	40.0297341	7.61	2.65	25792.16	120.16	0.00502	0.6	0	1114.05	23.15	EI
2178.5	41.0386088	5.3	2.72	26552.33	179.67	0.00512	0.6	0	2052.91	12.93	EI
2178.22	42.0454096	15.09	2.8	2545.82	36.82	0.00522	0.6	0	765.53	3.33	EI
2178.61	43.0090149	30.94	2.87	13998.22	84.78	0.00531	0.6	0	665.5	21.03	EI
2178.59	45.0231179	5.84	3	56998.41	234.73	0.00551	0.6	0	2373.17	24.02	EI
2178.59	46.0308273	7.95	3.06	31129.59	157.48	0.00561	0.6	0	1964.47	15.85	EI
2178.54	47.9992028	36.85	3.17	767.92	18.32	0.0058	0.6	0	81.56	9.41	EI
2178.63	49.0073075	9.16	3.23	10797.91	63	0.0059	0.6	0	873.89	12.36	EI
2178.57	50.0151449	3.85	3.28	107970.22	383.82	0.006	0.6	0	4798.23	22.5	EI
2178.57	51.0228328	3.1	3.33	168745.29	506.1	0.0061	0.6	0	7246.35	23.29	EI
2178.56	52.0299117	5.56	3.38	39809.1	159.16	0.0062	0.6	0	1655.28	24.05	EI
2178.62	53.0380329	7.81	3.43	18970.09	112.26	0.0063	0.6	0	932.89	20.33	EI
2178.99	54.0442411	24.03	3.47	1019.48	27.93	0.0064	0.6	0	363.1	2.81	EI
2179.18	55.0540917	8.22	3.51	8189.1	68.26	0.0065	0.6	0	2626.31	3.12	EI
2178.92	56.0615492	10.21	3.55	5042.55	53.2	0.00659	0.6	0	1010.32	4.99	EI
2178.51	59.9991898	12.88	3.7	4373.73	35.43	0.00698	0.6	0	229.52	19.06	EI
2178.56	61.0070195	4.83	3.74	40843.33	159.79	0.00708	0.6	0	2689.59	15.19	EI
2178.6	62.0147731	3.51	3.77	93565.04	270.3	0.00718	0.6	0	5508.67	16.99	EI
2178.58	63.022643	2.43	3.81	228564.54	661.87	0.00728	0.6	0	6701.84	34.1	EI
2178.58	64.029342	5.43	3.84	44920.08	162.62	0.00738	0.6	0	3402.56	13.2	EI
2178.59	65.0384219	1.88	3.87	433189.62	1140.73	0.00748	0.6	0	17970.31	24.11	EI
2178.52	66.0437638	6.37	3.9	43694.72	125.58	0.00757	0.6	0	1842.87	23.71	EI
2178.62	67.0528516	15.23	3.93	2812.1	51.61	0.00767	0.6	0	1221.03	2.3	EI
2179.01	69.069496	6.27	3.98	16830.87	96.74	0.00787	0.6	0	2557.65	6.58	EI
2178.23	70.0763811	10.51	3.96	2952.14	38.74	0.00797	0.6	0	956.27	3.09	EI
2178.72	71.9995028	47.76	3.92	300.78	14.41	0.00816	0.6	0	46.97	6.4	EI
2178.54	73.0068678	11.67	3.9	6631.32	66.75	0.00826	0.6	0	393.4	16.86	EI
2178.59	74.0146758	6.78	3.89	30403.47	144.89	0.00836	0.6	0	2006.97	15.15	EI
2178.6	75.0220172	8.1	3.87	17378	79.15	0.00846	0.6	0	1372.71	12.66	EI
2178.62	76.0297856	11.52	3.85	10464.4	75.87	0.00856	0.6	0	824.04	12.7	EI
2178.62	77.038053	5.94	3.83	30266.32	107.62	0.00865	0.6	0	382.89	79.05	EI
2178.5	78.0436484	17.18	3.82	3111.55	38.66	0.00875	0.6	0	319.87	9.73	EI
2178.52	83.9989933	15.18	3.73	5770	39.54	0.00934	0.6	0	377.01	15.3	EI
2177.33	84.0927845	13.1	3.73	2781.72	50.19	0.00935	0.6	0	1175.78	2.37	EI
2178.57	85.0067329	6.95	3.72	17492.03	95.2	0.00944	0.6	0	1262.63	13.85	EI
2178.58	86.0145122	6.62	3.7	26209.64	110.36	0.00954	0.6	0	2186.23	11.99	EI
2178.62	87.0219237	7.92	3.69	14783.55	66.25	0.00963	0.6	0	1119.83	13.2	EI
2178.55	88.0285149	19.59	3.68	2585.25	34.32	0.00973	0.6	0	90.37	28.61	EI
2178.59	89.0382265	3.1	3.67	145835.25	441.37	0.00983	0.6	0	5951.01	24.51	EI
2178.56	90.0451954	4.3	3.65	51851.85	134.02	0.00993	0.6	0	4092.26	12.67	EI
2178.57	91.0542068	1.19	3.64	3797326.12	11377.28	0.01003	0.6	0	24381.07	155.75	EI
2178.56	92.061475	1.34	3.63	2135888.96	6625.91	0.01013	0.6	0	11622.74	183.77	EI
2178.47	93.0648046	3.07	3.62	143726.26	393.49	0.01023	0.6	0	6163.14	23.32	EI
2178.37	94.0680771	18.48	3.66	4279.36	46.7	0.01033	0.6	0	349.61	12.24	EI
