Run file: 200602.1550.std.7.frag.train_C7H8
#############################################
Compound index: 0
Average retention time, seconds: 2178.57
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
H8C7+: 	79.71	4.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
46.3733	2178.57	3797326.12	100.0	91.054207	91.054227	25.2	0.2	H7C7+	4.5	3793772.28	0.999	EI
22.5062	2178.56	2135888.96	56.2	92.061475	92.062052	25.2	6.3	H8C7+	4.0	1841222.83	0.862	EI
5.2951	2178.59	433189.62	11.4	65.038422	65.038577	25.4	2.4	H5C5+	3.5	433189.62	1.000	EI
3.6363	2178.56	2135888.96	56.2	92.061475	92.057581	25.2	-42.3	H7C6[13C]+	4.5	297487.43	0.139	EI
2.7469	2178.56	224727.78	5.9	39.023116	39.022927	25.7	-4.9	H3C3+	2.5	224726.13	1.000	EI
2.7330	2178.58	228564.54	6.0	63.022643	63.022927	25.7	4.5	H3C5+	4.5	223586.70	0.978	EI
2.0079	2178.57	168745.29	4.4	51.022833	51.022927	26.2	1.8	H3C4+	3.5	164265.47	0.973	EI
1.7800	2178.59	145835.25	3.8	89.038226	89.038577	26.2	3.9	H5C7+	5.5	145620.19	0.999	EI
1.7568	2178.47	143726.26	3.8	93.064805	93.065407	26.2	6.5	H8C6[13C]+	4.0	143726.26	1.000	EI
1.3143	2178.57	107970.22	2.8	50.015145	50.015101	26.8	-0.9	H2C4+	4.0	107521.01	0.996	EI
1.1436	2178.60	93565.04	2.5	62.014773	62.015101	26.5	5.3	H2C5+	5.0	93553.44	1.000	EI
0.70	2178.59	56998.41	1.5	45.023118	0.0	5.8	0.0	unidentified	0.0	56998.41	1.000	EI
0.5079	2178.59	42078.81	1.1	38.015210	38.015101	29.5	-2.8	H2C3+	3.0	41549.34	0.987	EI
0.4992	2178.56	40843.33	1.1	61.007019	61.007276	27.8	4.2	HC5+	5.5	40843.33	1.000	EI
0.4959	2178.56	51851.85	1.4	90.045195	90.046402	27.2	13.4	H6C7+	5.0	40566.24	0.782	EI
0.4008	2178.56	39809.10	1.0	52.029912	52.030752	28.6	16.1	H4C4+	3.0	32789.76	0.824	EI
0.3992	2178.58	44920.08	1.2	64.029342	64.030752	28.4	22.0	H4C5+	4.0	32654.74	0.727	EI
0.38	2178.59	31129.59	0.8	46.030827	0.0	7.9	0.0	unidentified	0.0	31129.59	1.000	EI
0.3700	2178.62	30266.32	0.8	77.038053	77.038577	29.1	6.8	H5C6+	4.5	30266.03	1.000	EI
0.3664	2178.59	30403.47	0.8	74.014676	74.015101	30.2	5.8	H2C6+	6.0	29974.96	0.986	EI
0.3202	2178.58	26209.64	0.7	86.014512	86.015101	30.0	6.9	H2C7+	7.0	26198.26	1.000	EI
0.3175	2178.50	26552.33	0.7	41.038609	41.038577	28.3	-0.8	H5C3+	1.5	25976.94	0.978	EI
0.2973	2178.52	43694.72	1.2	66.043764	66.041931	29.6	-27.7	H5C4[13C]+	3.5	24322.14	0.557	EI
0.2319	2178.62	18970.09	0.5	53.038033	53.038577	31.7	10.3	H5C4+	2.5	18970.09	1.000	EI
0.2287	2178.57	25792.16	0.7	40.029734	40.030752	31.4	25.4	H4C3+	2.0	18709.25	0.725	EI
0.2163	2178.61	17699.23	0.5	37.007480	37.007276	32.4	-5.5	HC3+	3.5	17698.79	1.000	EI
0.2138	2178.57	17492.03	0.5	85.006733	85.007276	30.4	6.4	HC7+	7.5	17492.03	1.000	EI
0.2124	2178.60	17378.00	0.5	75.022017	75.022927	32.2	12.1	H3C6+	5.5	17378.00	1.000	EI
0.21	2179.01	16830.87	0.4	69.069496	0.0	6.3	0.0	unidentified	0.0	16830.87	1.000	EI
0.1821	2178.57	14908.33	0.4	27.023011	27.022927	32.9	-3.1	H3C2+	1.5	14901.09	1.000	EI
0.17	2178.61	13998.22	0.4	43.009015	0.0	30.9	0.0	unidentified	0.0	13998.22	1.000	EI
