Run file: 200602.1550.std.7.frag.train_CFC113
#############################################
Compound index: 0
Average retention time, seconds: 1650.51
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
C2F3Cl3+: 	74.63	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
0.0285	1650.47	442.30	0.1	95.935170	95.934207	108.7	-10.0	C2Cl[37Cl]+	2.0	421.41	0.953	EI
0.0284	1650.41	420.09	0.1	155.927888	155.929821	86.1	12.4	C[13C]F3[37Cl]2+	0.5	420.09	1.000	EI
0.0259	1650.53	1242.96	0.4	66.966312	66.970062	61.8	56.0	[13C]FCl+	1.0	383.06	0.308	EI
0.0258	1650.39	381.13	0.1	69.936501	69.937157	83.7	9.4	Cl2+	0.0	381.13	1.000	EI
0.02	1650.28	351.30	0.1	57.982530	0.0	32.9	0.0	unidentified	0.0	351.30	1.000	EI
0.0227	1650.56	335.52	0.1	122.897612	122.897159	80.1	-3.7	C[37Cl]3+	0.5	335.52	1.000	EI
0.0223	1649.97	450.08	0.1	60.976685	60.965354	261.6	-185.8	C2[37Cl]+	2.5	329.44	0.732	EI
0.0205	1650.42	302.83	0.1	87.964907	87.965515	63.6	6.9	[13C]F2[37Cl]+	0.5	302.83	1.000	EI
0.0181	1650.29	267.72	0.1	170.896781	170.896916	66.0	0.8	C2F2Cl[37Cl]2+	0.5	267.72	1.000	EI
0.0157	1650.43	231.56	0.1	105.931805	105.933015	94.1	11.4	[13C]F[37Cl]2+	0.5	231.56	1.000	EI
0.01	1650.33	198.10	0.1	69.996049	0.0	122.3	0.0	unidentified	0.0	198.10	1.000	EI
0.0130	1650.44	441.84	0.1	47.966772	47.971659	59.4	101.9	[13C]Cl+	1.5	191.40	0.433	EI
0.0121	1650.99	235.41	0.1	118.984621	118.963918	64.0	-174.0	C[13C]F3[37Cl]+	1.0	179.31	0.762	EI
0.0114	1650.64	168.23	0.1	71.932636	71.934207	108.7	21.8	Cl[37Cl]+	0.0	168.23	1.000	EI
0.0093	1650.35	137.83	0.0	147.902679	147.904413	100.9	11.7	C2FCl3+	1.0	137.82	1.000	EI
0.0090	1650.67	156.68	0.0	149.898174	149.901463	71.7	21.9	C2FCl2[37Cl]+	1.0	132.26	0.844	EI
0.0079	1650.35	116.85	0.0	78.975714	78.970062	153.1	-71.6	C[13C]FCl+	2.0	116.85	1.000	EI
0.0054	1650.51	10990.27	3.4	116.905156	116.929660	28.7	209.6	C2F[37Cl]2+	1.5	79.10	0.007	EI
0.0052	1650.12	76.84	0.0	185.898006	185.901219	95.7	17.3	C2F3Cl3+	0.0	76.83	1.000	EI
0.0050	1650.43	122.53	0.0	187.900250	187.898269	73.2	-10.5	C2F3Cl2[37Cl]+	0.0	73.73	0.602	EI
0.0049	1650.51	118136.52	36.5	84.964057	84.937562	25.6	-311.8	[13C]Cl[37Cl]+	1.0	71.72	0.001	EI
0.00	1650.22	63.68	0.0	74.949246	0.0	79.5	0.0	unidentified	0.0	63.68	1.000	EI
0.00	1650.65	60.27	0.0	73.947527	0.0	74.5	0.0	unidentified	0.0	60.27	1.000	EI
0.0039	1650.24	57.70	0.0	132.940705	132.937318	156.6	-25.5	C[13C]F2Cl2+	1.0	57.70	1.000	EI
0.0006	1650.33	1255.42	0.4	116.970510	116.929660	66.5	-349.2	C2F[37Cl]2+	1.5	9.04	0.007	EI
