Run file: 200602.1550.std.7.frag.train_C3H8
#############################################
Compound index: 0
Average retention time, seconds: 1383.66
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
H8C3+: 	66.57	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
22.4745	1383.66	682104.72	100.0	29.038185	29.038577	25.2	13.5	H5C2+	0.5	675705.58	0.991	EI
16.2615	1383.67	488974.28	71.7	43.053620	43.054227	25.2	14.1	H7C3+	0.5	488907.42	1.000	EI
15.7510	1383.66	489082.61	71.7	44.061309	44.062052	25.1	16.9	H8C3+	0.0	473558.96	0.968	EI
11.0176	1383.66	331320.63	48.6	28.030265	28.030752	25.5	17.4	H4C2+	1.0	331248.23	1.000	EI
9.5108	1383.66	287274.65	42.1	39.022356	39.022927	25.4	14.6	H3C3+	2.5	285947.32	0.995	EI
8.4100	1383.66	252851.20	37.1	41.037973	41.038577	25.3	14.7	H5C3+	1.5	252851.20	1.000	EI
5.7358	1383.66	172450.14	25.3	27.022405	27.022927	25.5	19.3	H3C2+	1.5	172450.14	1.000	EI
2.5263	1383.67	75981.18	11.1	38.014523	38.015101	25.7	15.2	H2C3+	3.0	75954.12	1.000	EI
1.4360	1383.67	43174.23	6.3	37.006750	37.007276	25.8	14.2	HC3+	3.5	43174.23	1.000	EI
0.7204	1383.66	21739.78	3.2	26.014530	26.015101	27.3	22.0	H2C2+	2.0	21658.06	0.996	EI
0.5465	1383.66	489082.61	71.7	44.061309	44.057581	25.1	-84.6	H7C2[13C]+	0.5	16430.36	0.034	EI
0.5273	1383.61	15853.04	2.3	45.064577	45.065407	27.0	18.4	H8C2[13C]+	0.0	15853.04	1.000	EI
0.5035	1383.63	16962.79	2.5	30.041633	30.041931	28.3	9.9	H5C[13C]+	0.5	15138.64	0.892	EI
0.3196	1383.66	40745.55	6.0	40.029197	40.026281	26.9	-72.8	H3C2[13C]+	2.5	9609.63	0.236	EI
0.2852	1383.66	82464.96	12.1	42.045305	42.041931	25.7	-80.2	H5C2[13C]+	1.5	8574.15	0.104	EI
0.2468	1383.66	682104.72	100.0	29.038185	29.034106	25.2	-140.5	H4C[13C]+	1.0	7421.35	0.011	EI
0.1766	1383.70	5359.81	0.8	35.998911	35.999451	34.4	15.0	C3+	4.0	5308.18	0.990	EI
0.1328	1383.66	331320.63	48.6	28.030265	28.026281	25.5	-142.1	H3C[13C]+	1.5	3991.36	0.012	EI
0.0849	1383.66	287274.65	42.1	39.022356	39.018456	25.4	-99.9	H2C2[13C]+	3.0	2552.54	0.009	EI
0.0505	1383.67	75981.18	11.1	38.014523	38.010631	25.7	-102.4	HC2[13C]+	3.5	1519.35	0.020	EI
0.0196	1383.61	15853.04	2.3	45.064577	45.068328	27.0	83.2	H7[2H]C3+	0.0	590.11	0.037	EI
0.0177	1383.66	489082.61	71.7	44.061309	44.060503	25.1	-18.3	H6[2H]C3+	0.5	533.08	0.001	EI
0.0175	1383.63	16962.79	2.5	30.041633	30.044853	28.3	107.2	H4[2H]C2+	0.5	526.25	0.031	EI
0.0161	1383.66	172450.14	25.3	27.022405	27.018456	25.5	-146.1	H2C[13C]+	2.0	485.23	0.003	EI
0.0069	1383.66	682104.72	100.0	29.038185	29.037028	25.2	-39.8	H3[2H]C2+	1.0	206.39	0.000	EI
0.0066	1383.66	82464.96	12.1	42.045305	42.044853	25.7	-10.8	H4[2H]C3+	1.5	198.70	0.002	EI
0.0061	1383.61	15853.04	2.3	45.064577	45.060936	27.0	-80.8	H7C[13C]2+	0.5	184.05	0.012	EI
0.0059	1383.67	43174.23	6.3	37.006750	37.002806	25.8	-106.6	C2[13C]+	4.0	178.39	0.004	EI
0.0045	1383.68	136.60	0.0	46.067821	46.068761	117.8	20.4	H8C[13C]2+	0.0	136.60	1.000	EI
0.0044	1383.66	40745.55	6.0	40.029197	40.029203	26.9	0.2	H2[2H]C3+	2.5	133.62	0.003	EI
0.0036	1383.66	252851.20	37.1	41.037973	41.029636	25.3	-203.1	H3C[13C]2+	2.5	107.65	0.000	EI
0.0032	1383.67	488974.28	71.7	43.053620	43.045286	25.2	-193.6	H5C[13C]2+	1.5	96.05	0.000	EI
0.0028	1383.66	331320.63	48.6	28.030265	28.029203	25.5	-37.9	H2[2H]C2+	1.5	83.25	0.000	EI
0.0021	1383.68	62.54	0.0	31.045194	31.045286	132.4	3.0	H5[13C]2+	0.5	62.54	1.000	EI
