Run file: 200602.1550.std.7.frag.train_C2H6
#############################################
Compound index: 0
Average retention time, seconds: 1275.56
Largest detected fragment series:
Formula	Likelihood indicator (%)	DBE	Molecular ion?
H6C2+: 	50.50	0.0	True
% norm I, exact	RT [s]	Total Intensity	% of Total Intensity	Meas. mass [m/z]	Exact mass [m/z]	Exact mass, u [ppm]	Mass diff [ppm]	Formula	DBE	Intensity	Intensity, fraction	Ionisation mode
50.3749	1275.54	799697.83	100.0	28.030331	28.030752	29.2	15.0	H4C2+	1.0	799697.83	1.000	EI
16.7523	1275.58	266008.67	33.3	30.045892	30.046402	25.4	17.0	H6C2+	0.0	265940.75	1.000	EI
13.4197	1275.58	213036.96	26.6	27.022334	27.022927	25.4	21.9	H3C2+	1.5	213036.96	1.000	EI
5.8125	1275.61	92527.35	11.6	26.014517	26.015101	25.8	22.5	H2C2+	2.0	92273.16	0.997	EI
1.1338	1275.58	209165.62	26.2	29.037805	29.034106	25.9	-127.4	H4C[13C]+	1.0	17998.55	0.086	EI
0.3753	1275.60	7055.63	0.9	31.049412	31.049756	36.4	11.1	H6C[13C]+	0.0	5958.19	0.844	EI
0.3191	1275.54	799697.83	100.0	28.030331	28.026281	29.2	-144.5	H3C[13C]+	1.5	5065.09	0.006	EI
0.1302	1275.58	213036.96	26.6	27.022334	27.018456	25.4	-143.5	H2C[13C]+	2.0	2067.31	0.010	EI
0.0315	1275.58	209165.62	26.2	29.037805	29.037028	25.9	-26.7	H3[2H]C2+	1.0	500.54	0.002	EI
0.0157	1275.60	7055.63	0.9	31.049412	31.052678	36.4	105.2	H5[2H]C2+	0.0	248.54	0.035	EI
0.0067	1275.54	799697.83	100.0	28.030331	28.029203	29.2	-40.2	H2[2H]C2+	1.5	105.64	0.000	EI
0.0064	1275.58	266008.67	33.3	30.045892	30.037461	25.4	-280.6	H4[13C]2+	1.0	100.81	0.000	EI
